,r,rmin,rmax,kT_all,P_all,K_all,kT_CC,kT_CC_errmin,kT_CC_errplus,P_CC,P_CC_errmin,P_CC_errplus,K_CC,K_CC_errmin,K_CC_errplus,kT_NCC,kT_NCC_errmin,kT_NCC_errplus,P_NCC,P_NCC_errmin,P_NCC_errplus,K_NCC,K_NCC_errmin,K_NCC_errplus
0,0.02,0.0,0.04, 1.02$^{+0.12}_{-0.25}$ , 10.37$^{+3.44}_{-2.44}$ ,  0.13$^{+0.03}_{-0.03}$ , 1.00,0.19,0.17, 19.28,4.23,5.12, 0.09,0.02,0.02, 0.99,0.23,0.23,  4.68,1.33,1.51, 0.22,0.05,0.07
1,0.06,0.04,0.08, 1.04$^{+0.09}_{-0.07}$ ,  6.58$^{+0.94}_{-1.09}$ ,  0.20$^{+0.02}_{-0.03}$ , 1.05,0.07,0.10,  9.42,1.74,2.00, 0.16,0.02,0.02, 1.05,0.16,0.11,  4.53,0.76,0.82, 0.26,0.04,0.03
2,0.105,0.08,0.13, 1.13$^{+0.06}_{-0.08}$ ,  5.17$^{+0.61}_{-0.52}$ ,  0.26$^{+0.02}_{-0.02}$ , 1.14,0.08,0.07,  6.40,0.86,0.72, 0.23,0.02,0.02, 1.09,0.09,0.11,  4.04,0.52,0.50, 0.30,0.03,0.03
3,0.165,0.13,0.2, 1.18$^{+0.07}_{-0.06}$ ,  3.81$^{+0.28}_{-0.23}$ ,  0.35$^{+0.03}_{-0.02}$ , 1.18,0.08,0.08,  4.12,0.35,0.43, 0.33,0.03,0.03, 1.13,0.09,0.08,  3.19,0.37,0.33, 0.37,0.03,0.03
4,0.24,0.2,0.28, 1.17$^{+0.07}_{-0.05}$ ,  2.60$^{+0.20}_{-0.15}$ ,  0.44$^{+0.03}_{-0.02}$ , 1.18,0.09,0.09,  2.69,0.21,0.27, 0.44,0.04,0.04, 1.11,0.07,0.10,  2.38,0.21,0.22, 0.44,0.04,0.03
5,0.32,0.28,0.36, 1.13$^{+0.06}_{-0.04}$ ,  1.73$^{+0.07}_{-0.05}$ ,  0.55$^{+0.03}_{-0.03}$ , 1.13,0.07,0.07,  1.69,0.14,0.15, 0.56,0.04,0.04, 1.12,0.06,0.04,  1.69,0.08,0.12, 0.55,0.03,0.02
6,0.41,0.36,0.46, 1.08$^{+0.04}_{-0.03}$ ,  1.14$^{+0.04}_{-0.05}$ ,  0.67$^{+0.03}_{-0.03}$ , 1.07,0.06,0.07,  1.09,0.08,0.09, 0.68,0.03,0.05, 1.07,0.04,0.05,  1.14,0.04,0.07, 0.66,0.03,0.03
7,0.52,0.46,0.58, 0.99$^{+0.03}_{-0.03}$ ,  0.69$^{+0.03}_{-0.03}$ ,  0.81$^{+0.03}_{-0.03}$ , 0.97,0.05,0.04,  0.63,0.03,0.04, 0.83,0.05,0.06, 1.01,0.06,0.06,  0.72,0.04,0.04, 0.82,0.05,0.05
8,0.66,0.58,0.74, 0.90$^{+0.03}_{-0.03}$ ,  0.43$^{+0.02}_{-0.02}$ ,  0.95$^{+0.05}_{-0.05}$ , 0.89,0.04,0.03,  0.40,0.03,0.02, 0.98,0.05,0.05, 0.92,0.06,0.07,  0.45,0.03,0.04, 0.96,0.07,0.08
9,0.845,0.74,0.95, 0.78$^{+0.04}_{-0.04}$ ,  0.22$^{+0.02}_{-0.01}$ ,  1.17$^{+0.07}_{-0.05}$ , 0.78,0.05,0.06,  0.22,0.01,0.02, 1.19,0.08,0.11, 0.76,0.05,0.05,  0.22,0.02,0.02, 1.13,0.08,0.09
10,1.075,0.95,1.2, 0.67$^{+0.05}_{-0.05}$ ,  0.11$^{+0.01}_{-0.01}$ ,  1.48$^{+0.11}_{-0.14}$ , 0.70,0.06,0.06,  0.11,0.01,0.01, 1.52,0.16,0.13, 0.55,0.06,0.06,  0.08,0.01,0.01, 1.23,0.12,0.12
11,1.35,1.2,1.5, 0.59$^{+0.07}_{-0.05}$ ,  0.06$^{+0.01}_{-0.01}$ ,  1.78$^{+0.22}_{-0.14}$ , 0.61,0.05,0.08,  0.06,0.01,0.01, 1.76,0.14,0.22, 0.41,0.08,0.08,  0.04,0.01,0.01, 1.28,0.22,0.32
